@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "15.36.40"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "ESRRING$START"     "MARKER"                             0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR00"           "DRIFT"                      4.6706992          4.6706992                  0                  0                  0          4.6706992                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR01"           "DRIFT"                      4.8756992              0.205                  0                  0                  0          4.8756992                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR02"           "DRIFT"                      4.9706992              0.095                  0                  0                  0          4.9706992                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0101"             "QUADRUPOLE"                 5.7922991          0.8215999                  0                  0                  0          5.7922991                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR03"           "DRIFT"                      5.8872991              0.095                  0                  0                  0          5.8872991                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR04"           "DRIFT"                      6.0499991             0.1627                  0                  0                  0          6.0499991                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DX1"            "MONITOR"                    6.0499991              1e-12                  0                  0                  0          6.0499991                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR05"           "DRIFT"                      6.2126991             0.1627                  0                  0                  0          6.2126991                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR06"           "DRIFT"                      6.3076991              0.095                  0                  0                  0          6.3076991                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0102"             "QUADRUPOLE"                  7.142299          0.8345999                  0                  0                  0           7.142299                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR07"           "DRIFT"                       9.293999             2.1517                  0                  0                  0           9.293999                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010101"        "SBEND"                    10.11170746       0.8177084625       0.1308333375     -0.05341550399                  0        10.10937662      -0.1308333375                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01KX1"            "HKICKER"                  10.11170746              1e-12                  0     -0.05341550399                  0        10.10937662      -0.1308333375                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010102"        "SBEND"                    10.92941593       0.8177084625       0.1308333375      -0.2127489869                  0        10.91081703       -0.261666675                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010103"        "SBEND"                    11.74712439       0.8177084625       0.1308333375      -0.4752769681                  0        11.68462123      -0.3925000125                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010104"        "SBEND"                    12.56483285       0.8177084625       0.1308333375      -0.8365120675                  0        12.41756263        -0.52333335                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010105"        "SBEND"                    13.38254131       0.8177084625       0.1308333375       -1.290279708                  0        13.09711307      -0.6541666875                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010106"        "SBEND"                    14.20024978       0.8177084625       0.1308333375       -1.828823659                  0        13.71165705       -0.785000025                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010107"        "SBEND"                    15.01795824       0.8177084625       0.1308333375       -2.442938609                  0        14.25069018      -0.9158333625                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01KX2"            "HKICKER"                  15.01795824              1e-12                  0       -2.442938609                  0        14.25069018      -0.9158333625                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010108"        "SBEND"                     15.8356667       0.8177084625       0.1308333375       -3.122127518                  0        14.70499878         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR08"           "DRIFT"                     15.8556667               0.02                  0       -3.139442715                  0        14.71500798         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR09"           "DRIFT"                     16.2856667               0.43                  0       -3.511719453                  0        14.93020563         -1.0466667                  0                  0                  0                  0          0          0                  0                  0 ""                 
