@ NAME             %19s "TRACK.OBS0001.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "18.55.24"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1          0                  0                  0                  0                  0                  0                  0                  0        209.3975473
          1          1                  0                  0                  0                  0        124.5162736                  0                  0        209.3975473
          1          2                  0                  0                  0                  0        249.0325472                  0                  0        209.3975473
          1          3                  0                  0                  0                  0        373.5488209                  0                  0        209.3975473
          1          4                  0                  0                  0                  0        498.0650945                  0                  0        209.3975473
          1          5                  0                  0                  0                  0        622.5813681                  0                  0        209.3975473
          1          6                  0                  0                  0                  0        747.0976417                  0                  0        209.3975473
          1          7                  0                  0                  0                  0        871.6139154                  0                  0        209.3975473
          1          8                  0                  0                  0                  0         996.130189                  0                  0        209.3975473
          1          9                  0                  0                  0                  0        1120.646463                  0                  0        209.3975473
          1         10                  0                  0                  0                  0        1245.162736                  0                  0        209.3975473
          1         11                  0                  0                  0                  0         1369.67901                  0                  0        209.3975473
          1         12                  0                  0                  0                  0        1494.195283                  0                  0        209.3975473
          1         13                  0                  0                  0                  0        1618.711557                  0                  0        209.3975473
          1         14                  0                  0                  0                  0        1743.227831                  0                  0        209.3975473
          1         15                  0                  0                  0                  0        1867.744104                  0                  0        209.3975473
          1         16                  0                  0                  0                  0        1992.260378                  0                  0        209.3975473
          1         17                  0                  0                  0                  0        2116.776652                  0                  0        209.3975473
          1         18                  0                  0                  0                  0        2241.292925                  0                  0        209.3975473
          1         19                  0                  0                  0                  0        2365.809199                  0                  0        209.3975473
          1         20                  0                  0                  0                  0        2490.325472                  0                  0        209.3975473
          1         21                  0                  0                  0                  0        2614.841746                  0                  0        209.3975473
          1         22                  0                  0                  0                  0         2739.35802                  0                  0        209.3975473
          1         23                  0                  0                  0                  0        2863.874293                  0                  0        209.3975473
          1         24                  0                  0                  0                  0        2988.390567                  0                  0        209.3975473
          1         25                  0                  0                  0                  0        3112.906841                  0                  0        209.3975473
          1         26                  0                  0                  0                  0        3237.423114                  0                  0        209.3975473
          1         27                  0                  0                  0                  0        3361.939388                  0                  0        209.3975473
          1         28                  0                  0                  0                  0        3486.455661                  0                  0        209.3975473
          1         29                  0                  0                  0                  0        3610.971935                  0                  0        209.3975473
          1         30                  0                  0                  0                  0        3735.488209                  0                  0        209.3975473
          1         31                  0                  0                  0                  0        3860.004482                  0                  0        209.3975473
          1         32                  0                  0                  0                  0        3984.520756                  0                  0        209.3975473
          1         33                  0                  0                  0                  0         4109.03703                  0                  0        209.3975473
          1         34                  0                  0                  0                  0        4233.553303                  0                  0        209.3975473
          1         35                  0                  0                  0                  0        4358.069577                  0                  0        209.3975473
          1         36                  0                  0                  0                  0         4482.58585                  0                  0        209.3975473
          1         37                  0                  0                  0                  0        4607.102124                  0                  0        209.3975473
          1         38                  0                  0                  0                  0        4731.618398                  0                  0        209.3975473
          1         39                  0                  0                  0                  0        4856.134671                  0                  0        209.3975473
          1         40                  0                  0                  0                  0        4980.650945                  0                  0        209.3975473
          1         41                  0                  0                  0                  0        5105.167219                  0                  0        209.3975473
          1         42                  0                  0                  0                  0        5229.683492                  0                  0        209.3975473
          1         43                  0                  0                  0                  0        5354.199766                  0                  0        209.3975473
          1         44                  0                  0                  0                  0        5478.716039                  0                  0        209.3975473
          1         45                  0                  0                  0                  0        5603.232313                  0                  0        209.3975473
          1         46                  0                  0                  0                  0        5727.748587                  0                  0        209.3975473
          1         47                  0                  0                  0                  0         5852.26486                  0                  0        209.3975473
          1         48                  0                  0                  0                  0        5976.781134                  0                  0        209.3975473
          1         49                  0                  0                  0                  0        6101.297408                  0                  0        209.3975473
          1         50                  0                  0                  0                  0        6225.813681                  0                  0        209.3975473
          1         51                  0                  0                  0                  0        6350.329955                  0                  0        209.3975473
          1         52                  0                  0                  0                  0        6474.846228                  0                  0        209.3975473
          1         53                  0                  0                  0                  0        6599.362502                  0                  0        209.3975473
          1         54                  0                  0                  0                  0        6723.878776                  0                  0        209.3975473
          1         55                  0                  0                  0                  0        6848.395049                  0                  0        209.3975473
          1         56                  0                  0                  0                  0        6972.911323                  0                  0        209.3975473
          1         57                  0                  0                  0                  0        7097.427597                  0                  0        209.3975473
          1         58                  0                  0                  0                  0         7221.94387                  0                  0        209.3975473
          1         59                  0                  0                  0                  0        7346.460144                  0                  0        209.3975473
          1         60                  0                  0                  0                  0        7470.976417                  0                  0        209.3975473
          1         61                  0                  0                  0                  0        7595.492691                  0                  0        209.3975473
          1         62                  0                  0                  0                  0        7720.008965                  0                  0        209.3975473
